Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000001.SH1,20130104,93000,2289.5099,2289.5099,2289.5099,2289.5099,120269600,956021800,40471,0
000001.SH1,20130104,93100,2292.6019,2294.4036,2290.7797,2290.7797,328740800,2638438800,104872,0
000001.SH1,20130104,93200,2289.8882,2293.1606,2289.8882,2291.6326,179894700,1527703500,61510,0
000001.SH1,20130104,93300,2291.6749,2293.2135,2291.436,2291.436,158302200,1341752400,50934,0
000001.SH1,20130104,93400,2291.8848,2292.9953,2291.8848,2292.5423,142952700,1180265100,46097,0
000001.SH1,20130104,93500,2292.407,2294.8173,2292.407,2294.8173,133799000,1138093800,44343,0
000001.SH1,20130104,93600,2294.3787,2295.5519,2293.8122,2294.5282,124779100,1134896300,47021,0
000001.SH1,20130104,93700,2293.6962,2295.0794,2292.5247,2293.8356,135473300,1176802900,49348,0
000001.SH1,20130104,93800,2292.1089,2293.6976,2290.7923,2292.0126,138947700,1124443700,46827,0
000001.SH1,20130104,93900,2289.7515,2290.8739,2287.6373,2288.1188,129589400,1068221300,44811,0
000001.SH1,20130104,94000,2287.7904,2287.7904,2285.3898,2285.5139,130573100,1072548800,43606,0
000001.SH1,20130104,94100,2284.8234,2284.961,2282.8985,2282.8985,112537000,933951200,40167,0
