Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000001.SH1,20130104,93000,2289.5099,2289.5099,2289.5099,2289.5099,120269600,956021800.0000,40471,0
000001.SH1,20130104,93100,2292.6019,2294.4036,2290.7797,2290.7797,328740800,2638438800.0000,104872,0
000001.SH1,20130104,93200,2289.8882,2293.1606,2289.8882,2291.6326,179894700,1527703500.0000,61510,0
000001.SH1,20130104,93300,2291.6749,2293.2135,2291.4360,2291.4360,158302200,1341752400.0000,50934,0
000001.SH1,20130104,93400,2291.8848,2292.9953,2291.8848,2292.5423,142952700,1180265100.0000,46097,0
000001.SH1,20130104,93500,2292.4070,2294.8173,2292.4070,2294.8173,133799000,1138093800.0000,44343,0
000001.SH1,20130104,93600,2294.3787,2295.5519,2293.8122,2294.5282,124779100,1134896300.0000,47021,0
000001.SH1,20130104,93700,2293.6962,2295.0794,2292.5247,2293.8356,135473300,1176802900.0000,49348,0
000001.SH1,20130104,93800,2292.1089,2293.6976,2290.7923,2292.0126,138947700,1124443700.0000,46827,0
000001.SH1,20130104,93900,2289.7515,2290.8739,2287.6373,2288.1188,129589400,1068221300.0000,44811,0
000001.SH1,20130104,94000,2287.7904,2287.7904,2285.3898,2285.5139,130573100,1072548800.0000,43606,0
000001.SH1,20130104,94100,2284.8234,2284.9610,2282.8985,2282.8985,112537000,933951200.0000,40167,0
000001.SH1,20130104,94200,2283.3281,2284.4242,2282.7616,2283.5807,98076400,841958700.0000,38424,0
000001.SH1,20130104,94300,2283.6268,2285.0760,2283.2827,2284.7974,99406600,841362100.0000,34921,0
000001.SH1,20130104,94400,2283.5447,2284.4420,2283.2563,2284.4420,83987200,731923900.0000,30426,0
000001.SH1,20130104,94500,2284.4979,2284.4979,2283.2867,2283.9019,76903600,687283900.0000,28085,0
000001.SH1,20130104,94600,2282.6321,2282.7099,2281.4075,2281.4916,84768700,735342900.0000,33643,0
000001.SH1,20130104,94700,2281.4534,2282.0508,2281.1298,2282.0508,93996200,736401700.0000,32018,0
000001.SH1,20130104,94800,2281.3518,2281.4249,2280.2589,2280.2589,78486600,677669800.0000,29896,0
000001.SH1,20130104,94900,2280.6823,2282.1862,2280.2882,2282.1862,75448100,638138500.0000,29169,0
000001.SH1,20130104,95000,2280.8155,2282.0750,2280.7116,2280.9936,75538800,650083500.0000,28946,0
000001.SH1,20130104,95100,2281.5945,2282.2839,2281.1899,2282.2839,77595500,651307900.0000,28653,0
000001.SH1,20130104,95200,2282.2690,2283.3345,2281.6070,2283.1327,84807300,663344200.0000,28366,0
000001.SH1,20130104,95300,2283.0158,2284.6591,2282.7301,2284.4632,81320200,705445300.0000,29424,0
000001.SH1,20130104,95400,2284.4068,2285.4461,2284.1469,2285.3125,88551700,737649500.0000,31600,0
000001.SH1,20130104,95500,2285.4079,2286.9165,2285.0176,2286.9165,96641000,761383100.0000,33008,0
000001.SH1,20130104,95600,2286.9340,2288.6528,2286.1992,2288.1757,90436500,731015000.0000,32342,0
000001.SH1,20130104,95700,2287.9916,2288.7525,2287.3066,2288.7151,77899500,702071700.0000,31046,0
000001.SH1,20130104,95800,2288.3344,2288.5057,2287.3438,2288.1131,87096200,787140800.0000,33781,0
000001.SH1,20130104,95900,2287.5861,2288.8040,2287.3908,2287.6675,88309800,770827900.0000,30198,0
000001.SH1,20130104,100000,2287.1994,2288.8940,2287.1994,2287.9740,69489400,626003800.0000,28298,0
000001.SH1,20130104,100100,2288.7933,2288.7933,2287.0338,2288.1249,95585800,810777400.0000,32999,0
000001.SH1,20130104,100200,2287.9630,2288.8060,2287.2473,2288.8060,79362000,734590900.0000,30072,0
000001.SH1,20130104,100300,2286.9662,2288.4578,2286.9662,2287.9237,79389000,710371100.0000,29603,0
000001.SH1,20130104,100400,2287.8708,2288.3312,2286.3570,2287.2339,84868800,689541700.0000,28759,0
000001.SH1,20130104,100500,2287.0438,2288.0174,2286.5474,2286.5682,75764600,656624200.0000,28812,0
000001.SH1,20130104,100600,2288.2305,2288.2305,2286.2534,2287.2699,63405200,572340600.0000,25331,0
000001.SH1,20130104,100700,2287.3105,2287.6493,2285.0338,2285.9905,91316200,773319800.0000,33191,0
000001.SH1,20130104,100800,2285.5048,2285.9063,2284.8367,2284.8367,79297000,703457600.0000,29708,0
000001.SH1,20130104,100900,2285.2929,2285.6850,2284.6754,2284.9231,69926000,602961500.0000,27821,0
000001.SH1,20130104,101000,2284.6777,2285.3034,2283.9691,2284.8041,71731900,626559300.0000,27141,0
000001.SH1,20130104,101100,2284.1396,2284.4227,2283.1195,2283.5092,63024100,574682300.0000,25632,0
000001.SH1,20130104,101200,2284.1524,2284.1524,2282.2439,2282.2439,64360800,583763400.0000,25152,0
000001.SH1,20130104,101300,2282.1260,2282.4635,2281.4997,2282.0153,66233600,546264000.0000,24907,0
000001.SH1,20130104,101400,2281.3810,2282.5113,2280.8134,2281.0002,66864600,553230800.0000,25521,0
000001.SH1,20130104,101500,2281.6418,2282.3583,2280.6822,2280.9912,66299800,580914100.0000,25197,0
000001.SH1,20130104,101600,2281.0753,2282.5038,2280.6158,2280.7965,65655600,545907000.0000,23179,0
